message,timestamp,severity,tags,attributes
"scheduling build on Metal builder ""production-builderv3-us-west1-17v4""",2026-06-17T18:06:53.001457683Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
unpacking archive,2026-06-17T18:07:08.483125357Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":399175680,""duration_ms"":1097,""level"":""info""}"
using build driver railpack-v0.27.2,2026-06-17T18:07:08.568054441Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
                   ,2026-06-17T18:07:08.729171322Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
[38;2;125;86;243m╭─────────────────╮[0m,2026-06-17T18:07:08.729174274Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
[38;2;125;86;243m│[0m Railpack 0.27.2 [38;2;125;86;243m│[0m,2026-06-17T18:07:08.729175650Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
[38;2;125;86;243m╰─────────────────╯[0m,2026-06-17T18:07:08.729176295Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-06-17T18:07:08.729176917Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
  [97m↳ Detected Node[0m,2026-06-17T18:07:08.729177725Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
  [97m↳ Using pnpm package manager[0m,2026-06-17T18:07:08.729178814Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
  [97m↳ Found workspace with 9 packages[0m,2026-06-17T18:07:08.729179500Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
            ,2026-06-17T18:07:08.729180613Z,info,"{""serviceId"":""ede4a3ba-6bc0-424f-802c-b3e2041b4048"",""deploymentId"":""34d4ca83-6f85-4127-aaa3-64563aac22f8"",""deploymentInstanceId"":null}","{""level"":""info""}"
